Nombre,Latitud,Longitud
Fuencarral,40.5015362,-3.6821615
El Goloso,40.5584694,-3.7138301
Villaverde Bajo,40.352592,-3.6839811
Las Águilas,40.3814589,-3.7803772
Doce de Octubre,40.3790211,-3.6987395
Embajadores,40.4052249,-3.7028935
Maestra Justa Freire-Polideportivo Aluche,40.3835465,-3.7686258
Laguna,40.3992313,-3.7447243
Puente Alcocer,40.3503366,-3.7050198
Nuevos Ministerios,40.4458416,-3.6916991
Recoletos,40.4224959,-3.6917042
Tetuán,40.4608552,-3.6982259
Plaza de Castilla,40.4662822,-3.6896636
Chamartín,40.4739539,-3.6827087
Bambú,40.4769812,-3.676614
Pinar de Chamartín,40.4800504,-3.6670518
Valdecarros,40.3599901,-3.5921171
Las Suertes,40.3635039,-3.5991634
Congosto,40.3721977,-3.6187268
Villa de Vallecas,40.379394,-3.6212983
Sierra de Guadalupe,40.3825816,-3.6249212
Miguel Hernández,40.387548,-3.6400068
Alto del Arenal,40.3900497,-3.6458127
Buenos Aires,40.3916235,-3.653876
Portazgo,40.3930132,-3.659194
Nueva Numancia,40.395963,-3.6647621
Puente de Vallecas,40.3980926,-3.6689662
Atocha,40.4069749,-3.6886008
Estación del Arte,40.4088389,-3.6914748
Antón Martín,40.412291,-3.699089
Tirso de Molina,40.4123608,-3.7045846
Gran Vía,40.4199123,-3.7016189
Tribunal,40.4262415,-3.7010942
Iglesia,40.4352634,-3.6990132
Ríos Rosas,40.4415935,-3.7015924
Alvarado,40.4500867,-3.7035098
Sol,40.416938,-3.7033901
Valdeacederas,40.4645262,-3.694999
Estrecho,40.4545136,-3.7027568
Colombia,40.4571156,-3.6769611
Pinar del Rey,40.4678284,-3.6486781
Mar de Cristal,40.4698205,-3.6385808
Feria de Madrid,40.464,-3.6163088
Aeropuerto T1-T2-T3,40.4679143,-3.5717593
Barajas,40.4758121,-3.5826207
Aeropuerto T4,40.4924348,-3.5928387
Manoteras,40.4766992,-3.662679
Hortaleza,40.4747276,-3.652125
Parque de Santa María,40.4771257,-3.6456986
San Lorenzo,40.4745618,-3.6396107
Canillas,40.4637721,-3.6354426
Esperanza,40.4592436,-3.6455644
Arturo Soria,40.455936,-3.6561772
Avenida de la Paz,40.4534311,-3.6615049
Alfonso XIII,40.4482221,-3.6678923
Prosperidad,40.4442092,-3.6748514
Diego de León,40.434474,-3.6747205
Lista,40.4293973,-3.6753988
Goya,40.4246991,-3.6762001
Velázquez,40.4251769,-3.682539
Serrano,40.4253869,-3.6869007
Colón,40.4258007,-3.6920413
Alonso Martínez,40.4274063,-3.695983
San Bernardo,40.4297715,-3.705761
Argüelles,40.4307266,-3.7161715
Avenida de América,40.4376477,-3.6772962
Casa de Campo,40.4034858,-3.7609309
Campamento,40.3946832,-3.7682788
Empalme,40.3907261,-3.765486
Eugenia de Montijo,40.3844157,-3.7510629
Carabanchel,40.3878172,-3.7449835
Vista Alegre,40.3887883,-3.7400441
Oporto,40.3886401,-3.7317242
Urgel,40.3925341,-3.7253613
Marqués de Vadillo,40.3974458,-3.7164041
Pirámides,40.4020429,-3.7119409
Acacias,40.4040749,-3.7059572
Puerta de Toledo,40.4070507,-3.7110664
La Latina,40.4112911,-3.7083094
Ópera,40.4179827,-3.7094148
Callao,40.4202937,-3.7059121
Chueca,40.4226703,-3.6976743
Rubén Darío,40.4330422,-3.6896897
Núñez de Balboa,40.4326416,-3.6795551
Ventas,40.4310642,-3.6635419
El Carmen,40.4319699,-3.6561907
Quintana,40.4331142,-3.6481458
Pueblo Nuevo,40.4350329,-3.644171
Ciudad Lineal,40.4379315,-3.6377404
Suanzes,40.4408788,-3.6270164
Torre Arias,40.443618,-3.6171219
Canillejas,40.4491131,-3.6085862
El Capricho,40.4533798,-3.5941978
Alameda de Osuna,40.4575814,-3.5879745
Moncloa,40.4350196,-3.719236
Ventura Rodríguez,40.4267613,-3.7132931
Plaza de España,40.423449,-3.7108809
Lavapiés,40.4084539,-3.7006613
Embajadores,40.4048124,-3.7022732
Palos de la Frontera,40.4030849,-3.6947843
Delicias,40.3993312,-3.6941225
Legazpi,40.3914432,-3.6949558
Almendrales,40.3839505,-3.6980105
Hospital 12 de Octubre,40.37546,-3.6959057
San Fermín-Orcasur,40.369987,-3.6943864
Ciudad de los Ángeles,40.3601741,-3.69343
Villaverde Bajo - Cruce,40.351034,-3.6926258
San Cristóbal,40.3416121,-3.6934141
Cuatro Caminos,40.4467812,-3.7039643
Canal,40.4386349,-3.704264
Quevedo,40.4331809,-3.7044934
Noviciado,40.4247733,-3.7073851
Santo Domingo,40.4204264,-3.7085723
Sevilla,40.4177659,-3.6999453
Banco de España,40.4190548,-3.6949256
Retiro,40.4204626,-3.6864269
