CONSTRUCTEDAREA,ROOMNUMBER,BATHNUMBER,HASTERRACE,HASLIFT,HASAIRCONDITIONING,AMENITYID,HASPARKINGSPACE,ISPARKINGSPACEINCLUDEDINPRICE,PARKINGSPACEPRICE,HASNORTHORIENTATION,HASSOUTHORIENTATION,HASEASTORIENTATION,HASWESTORIENTATION,HASBOXROOM,HASWARDROBE,HASSWIMMINGPOOL,HASDOORMAN,HASGARDEN,ISDUPLEX,ISSTUDIO,ISINTOPFLOOR,FLOORCLEAN,FLATLOCATIONID,CADCONSTRUCTIONYEAR,CADMAXBUILDINGFLOOR,CADDWELLINGCOUNT,BUILTTYPEID_1,BUILTTYPEID_2,BUILTTYPEID_3,DISTANCE_TO_CITY_CENTER,DISTANCE_TO_METRO,DISTANCE_TO_CASTELLANA,lon_normalized,lat_normalized,Zona_Cuadricula,y_valid,y_pred,error_porcentual
60,3,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1960,5,11,0,0,1,6.892939625831391,0.2435380974024429,5.559169868996887,53.27689416875008,31.278442434210444,1914,115000,77010.125,33.03467391304348
75,2,1,0,1,0,3,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,2.0,2.0,1934,6,26,0,0,1,0.6516089183633769,0.2569382696155592,0.4286879194153064,25.86637879999996,28.84404809210679,1706,319000,379703.9,19.029437695924756
66,2,2,0,1,0,3,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1.0,1.0,1920,9,13,0,0,1,1.317532028637891,0.5236837903832826,0.3419379755088398,29.102596650000056,25.91656901315977,1530,425000,342300.2,19.458779411764702
110,3,2,0,1,1,3,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,8.0,1.0,1965,11,83,0,0,1,3.021746870707015,0.3986808500395231,0.3947801695495356,25.29664824999992,16.94384125000101,986,314000,355823.3,13.319526273885351
166,3,3,1,1,1,2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,6.0,1.0,1974,8,26,0,0,1,2.620726449,0.1733067699413689,1.0027199577388726,33.349394156249964,32.240961447369465,1954,1236000,1280291.5,3.5834546925566313
97,3,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,1994,7,42,0,0,1,1.1906148299263877,0.0559297283778215,1.5182953742823782,20.93477198124989,23.878243223684898,1401,326000,364854.44,11.918539110429439
54,1,1,0,1,1,3,0,0,65001,0,0,1,0,0,1,0,0,0,0,0,0,1.0,1.0,1930,8,15,0,0,1,2.100521153553492,0.0440774020842716,0.917901486737098,32.34760549999994,29.71698026315892,1773,440000,432602.66,1.6812144886363622
58,1,1,0,1,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,1972,11,38,0,1,0,2.941862867878371,0.2455647569475805,0.9170715490355236,33.278687818749944,34.18481348684379,2074,312000,333113.9,6.767277644230774
74,2,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,1.0,1970,5,22,0,1,0,5.776132004394531,0.3435591631724174,4.374155356851111,48.17657353124995,31.89609868421206,1909,140000,143448.84,2.463459821428571
124,3,2,0,1,1,3,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,2.0,1.0,2005,8,94,0,0,1,1.414066353323476,0.1923924669939506,1.525091806,20.817181293749908,23.034721776317856,1401,693000,626570.06,9.585849567099569
70,2,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,1970,4,11,0,0,1,5.803639154793332,0.2379620232936969,4.118140652707624,47.18981955,34.78581776315965,2088,176000,169624.88,3.62223011363636
64,0,2,0,0,1,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0.0,2.0,2004,4,37,0,0,1,1.9762397664655025,0.4400124056699021,1.6420651486234716,21.580429631249928,34.08295697368403,2062,327000,247412.05,24.338823585626912
72,3,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1.0,1966,6,25,0,1,0,4.051834304210241,0.25387428,4.805987821,6.5885683499999,23.9331792105272,1387,106000,118086.914,11.402749115566046
95,2,1,1,0,1,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1.0,1.0,1960,4,13,0,0,1,4.245507765,0.2353810929934908,2.800678990801223,15.427879024999942,14.155683684210834,856,130000,162222.31,24.786394230769226
89,3,1,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,6.0,1.0,1945,7,32,0,1,0,3.203436258430018,0.082791368,1.7774207898618997,36.61628020624997,31.55460513158117,1897,259000,476492.34,83.9738778957529
218,3,2,0,1,1,3,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1.0,1.0,1905,5,22,0,0,1,0.3032569434045317,0.1828487927190982,0.9145087401127268,23.30012475624989,26.386802894738537,1584,778000,806813.94,3.703590938303347
