Feature,Importance
CONSTRUCTEDAREA,0.2820557
Zona_Cuadricula,0.11048913
HASLIFT,0.08137797
BATHNUMBER,0.08084604
DISTANCE_TO_CITY_CENTER,0.05165956
HASSWIMMINGPOOL,0.04970454
DISTANCE_TO_CASTELLANA,0.048605137
HASDOORMAN,0.03647949
lon_normalized,0.0340088
lat_normalized,0.030587874
HASPARKINGSPACE,0.023553945
BUILTTYPEID_2,0.023482159
HASAIRCONDITIONING,0.021880658
AMENITYID,0.012985242
FLOORCLEAN,0.011108594
ISINTOPFLOOR,0.010942891
FLATLOCATIONID,0.00951733
HASGARDEN,0.007768331
CADDWELLINGCOUNT,0.0077018216
ROOMNUMBER,0.0077018007
CADMAXBUILDINGFLOOR,0.007695169
CADCONSTRUCTIONYEAR,0.007401663
PARKINGSPACEPRICE,0.0062970845
ISDUPLEX,0.0059197904
DISTANCE_TO_METRO,0.0053150454
HASWARDROBE,0.0052907947
HASTERRACE,0.0043160766
HASWESTORIENTATION,0.0037739386
HASBOXROOM,0.0031868594
HASNORTHORIENTATION,0.0025339182
HASEASTORIENTATION,0.0022283753
HASSOUTHORIENTATION,0.0021942595
ISSTUDIO,0.0013900787
BUILTTYPEID_3,0.0
ISPARKINGSPACEINCLUDEDINPRICE,0.0
BUILTTYPEID_1,0.0
