Feature,Importance
CONSTRUCTEDAREA,0.06385051
CADDWELLINGCOUNT,0.05739821
DISTANCE_TO_CASTELLANA,0.05493285
FLOORCLEAN,0.054794192
CADCONSTRUCTIONYEAR,0.05206431
BATHNUMBER,0.051974896
ROOMNUMBER,0.05107931
Zona_Cuadricula,0.05098324
CADMAXBUILDINGFLOOR,0.0493497
DISTANCE_TO_CITY_CENTER,0.047047205
DISTANCE_TO_METRO,0.046295058
HASWARDROBE,0.042637315
HASPARKINGSPACE,0.03992869
HASBOXROOM,0.039637234
HASTERRACE,0.039339084
HASDOORMAN,0.038834553
HASAIRCONDITIONING,0.03873945
HASSWIMMINGPOOL,0.038511902
HASLIFT,0.038360994
HASGARDEN,0.03689406
ISDUPLEX,0.023937233
ISINTOPFLOOR,0.022944344
ISSTUDIO,0.020465637
