Precio_real,Precio_predicho,Error_absoluto
231000,368936.7,137936.6875
189000,279255.12,90255.125
116000,153903.78,37903.78125
215000,320644.72,105644.71875
229000,203776.6,25223.40625
472000,503683.8,31683.8125
366000,250117.2,115882.796875
159000,141676.88,17323.125
89000,137723.06,48723.0625
153000,177026.08,24026.078125
168000,181271.17,13271.171875
724000,546378.1,177621.875
112000,165177.6,53177.59375
256000,225089.53,30910.46875
304000,200660.03,103339.96875
753000,571100.25,181899.75
137000,161147.62,24147.625
660000,655164.9,4835.125
101000,148846.53,47846.53125
148000,197336.4,49336.40625
153000,212313.12,59313.125
254000,225740.19,28259.8125
335000,247461.14,87538.859375
153000,156418.47,3418.46875
89000,137168.31,48168.3125
212000,200394.95,11605.046875
139000,149910.03,10910.03125
171000,169598.84,1401.15625
121000,126947.516,5947.515625
345000,206983.66,138016.34375
162000,160160.1,1839.90625
236000,185585.58,50414.421875
215000,136962.84,78037.15625
1015000,622057.6,392942.375
112000,131431.19,19431.1875
130000,161345.56,31345.5625
149000,138651.4,10348.59375
368000,242550.78,125449.21875
153000,196913.5,43913.5
95000,187567.0,92567.0
174000,239241.39,65241.390625
664000,546660.7,117339.3125
316000,212668.97,103331.03125
620000,597593.75,22406.25
136000,165263.02,29263.015625
170000,186746.8,16746.796875
677000,479556.6,197443.40625
119000,148307.62,29307.625
132000,169102.56,37102.5625
132000,148289.19,16289.1875
437000,479776.38,42776.375
366000,258038.86,107961.140625
200000,193182.47,6817.53125
293000,178817.69,114182.3125
408000,318237.12,89762.875
205000,188191.17,16808.828125
502000,306112.53,195887.46875
168000,177749.53,9749.53125
193000,191323.12,1676.875
168000,197490.12,29490.125
121000,167349.66,46349.65625
137000,154090.38,17090.375
203000,240532.98,37532.984375
116000,178754.78,62754.78125
770000,533065.5,236934.5
147000,183694.8,36694.796875
128000,187142.06,59142.0625
90000,129191.98,39191.9765625
468000,519370.28,51370.28125
197000,215405.1,18405.09375
249000,189222.88,59777.125
189000,165702.53,23297.46875
341000,238701.88,102298.125
170000,150834.95,19165.046875
186000,137420.19,48579.8125
478000,460658.28,17341.71875
192000,203361.95,11361.953125
139000,135186.31,3813.6875
107000,197144.62,90144.625
317000,227039.6,89960.40625
141000,95709.59,45290.40625
442000,293585.62,148414.375
298000,203393.56,94606.4375
1077000,783315.4,293684.625
655000,390069.8,264930.1875
306000,238551.97,67448.03125
478000,358775.0,119225.0
858000,389222.7,468777.3125
376000,272592.44,103407.5625
215000,182699.78,32300.21875
103000,150095.0,47095.0
499000,313133.0,185867.0
354000,296545.4,57454.59375
153000,155929.28,2929.28125
252000,234523.52,17476.484375
302000,268945.16,33054.84375
106000,123097.984,17097.984375
493000,451073.25,41926.75
464000,304173.1,159826.90625
167000,161927.12,5072.875
201000,179310.84,21689.15625
230000,222033.81,7966.1875
143000,142716.66,283.34375
397000,345611.66,51388.34375
145000,183788.0,38788.0
219000,185552.88,33447.125
221000,160165.48,60834.515625
820000,402335.53,417664.46875
861000,587957.2,273042.8125
329000,277410.78,51589.21875
256000,197745.84,58254.15625
689000,438480.7,250519.3125
212000,186749.53,25250.46875
99000,138796.0,39796.0
469000,312292.66,156707.34375
172000,231831.55,59831.546875
243000,201464.78,41535.21875
87000,150736.84,63736.84375
254000,238169.33,15830.671875
173000,149550.0,23450.0
595000,587134.0,7866.0
730000,540262.6,189737.375
168000,174679.8,6679.796875
437000,296667.97,140332.03125
139000,183172.22,44172.21875
83000,120955.945,37955.9453125
281000,175021.66,105978.34375
157000,186303.83,29303.828125
303000,242950.88,60049.125
229000,191873.36,37126.640625
398000,465381.84,67381.84375
138000,146903.66,8903.65625
477000,431362.3,45637.6875
847000,737246.5,109753.5
89000,138609.69,49609.6875
188000,262180.9,74180.90625
557000,375199.7,181800.3125
166000,164393.44,1606.5625
302000,279288.12,22711.875
1185000,699088.0,485912.0
273000,220196.31,52803.6875
626000,487845.88,138154.125
603000,578654.75,24345.25
582000,585189.8,3189.8125
134000,147239.22,13239.21875
745000,492019.72,252980.28125
137000,194064.9,57064.90625
86000,124904.65,38904.6484375
490000,340397.84,149602.15625
706000,518766.97,187233.03125
164000,172877.38,8877.375
396000,249746.31,146253.6875
143000,154469.06,11469.0625
126000,146019.1,20019.09375
367000,264030.53,102969.46875
90000,150749.23,60749.234375
685000,605421.5,79578.5
223000,217483.8,5516.203125
659000,469752.22,189247.78125
646000,354356.62,291643.375
97000,162000.89,65000.890625
432000,266949.72,165050.28125
739000,671961.4,67038.625
143000,122138.31,20861.6875
293000,254184.56,38815.4375
162000,138129.12,23870.875
266000,233827.95,32172.046875
303000,177796.94,125203.0625
347000,280204.1,66795.90625
189000,183019.16,5980.84375
209000,146151.84,62848.15625
223000,212377.56,10622.4375
225000,210056.0,14944.0
292000,230832.31,61167.6875
153000,167281.47,14281.46875
212000,170113.55,41886.453125
230000,238041.11,8041.109375
237000,160542.42,76457.578125
724000,500457.62,223542.375
211000,212599.31,1599.3125
158000,141934.53,16065.46875
231000,293913.75,62913.75
95000,139317.47,44317.46875
264000,226249.48,37750.515625
553000,354481.3,198518.6875
163000,194218.75,31218.75
148000,164187.88,16187.875
618000,390473.16,227526.84375
386000,225457.55,160542.453125
393000,284004.84,108995.15625
387000,270564.7,116435.3125
219000,161870.6,57129.40625
407000,335166.88,71833.125
185000,187342.69,2342.6875
176000,172702.78,3297.21875
459000,405918.7,53081.3125
261000,237273.97,23726.03125
218000,205037.12,12962.875
171000,167027.47,3972.53125
145000,147034.25,2034.25
267000,262317.03,4682.96875
551000,294905.9,256094.09375
517000,374240.9,142759.09375
258000,217557.03,40442.96875
286000,206578.58,79421.421875
463000,339132.7,123867.3125
105000,185787.67,80787.671875
166000,151500.19,14499.8125
162000,239507.84,77507.84375
358000,226779.88,131220.125
122000,139843.94,17843.9375
147000,156960.31,9960.3125
425000,325121.5,99878.5
696000,581920.56,114079.4375
393000,240440.14,152559.859375
275000,181167.12,93832.875
591000,427740.72,163259.28125
1064000,726041.3,337958.6875
604000,427013.2,176986.8125
340000,256264.55,83735.453125
259000,177900.28,81099.71875
255000,203718.47,51281.53125
1255000,578973.5,676026.5
303000,281482.78,21517.21875
342000,258809.77,83190.234375
178000,201699.94,23699.9375
344000,322809.66,21190.34375
94000,116006.0,22006.0
132000,239536.31,107536.3125
159000,178460.75,19460.75
686000,312704.1,373295.90625
186000,179278.23,6721.765625
143000,125043.32,17956.6796875
127000,144957.8,17957.796875
117000,138951.4,21951.40625
367000,229223.17,137776.828125
327000,216318.97,110681.03125
383000,269614.25,113385.75
327000,379488.8,52488.8125
307000,198174.34,108825.65625
483000,431637.62,51362.375
494000,425231.97,68768.03125
514000,301546.84,212453.15625
116000,131095.66,15095.65625
136000,152480.8,16480.796875
238000,158331.31,79668.6875
161000,148868.42,12131.578125
177000,182317.62,5317.625
191000,153518.86,37481.140625
865000,632147.0,232853.0
255000,211384.81,43615.1875
380000,326207.25,53792.75
52000,144680.75,92680.75
445000,267125.8,177874.1875
167000,182476.94,15476.9375
256000,203999.56,52000.4375
677000,521395.97,155604.03125
170000,176028.86,6028.859375
146000,159754.92,13754.921875
119000,141119.45,22119.453125
256000,257760.0,1760.0
598000,487562.3,110437.6875
304000,255839.06,48160.9375
153000,164602.9,11602.90625
219000,246612.08,27612.078125
205000,249271.83,44271.828125
412000,415805.7,3805.6875
260000,195737.53,64262.46875
634000,418627.12,215372.875
466000,325657.34,140342.65625
298000,206655.33,91344.671875
385000,257885.98,127114.015625
358000,241672.95,116327.046875
254000,312731.16,58731.15625
153000,198675.8,45675.796875
224000,160598.72,63401.28125
454000,399141.3,54858.6875
265000,196201.7,68798.296875
114000,133855.47,19855.46875
104000,159825.06,55825.0625
308000,264744.78,43255.21875
188000,137504.5,50495.5
515000,343407.4,171592.59375
189000,191451.62,2451.625
789000,826343.8,37343.8125
212000,203625.89,8374.109375
128000,200135.66,72135.65625
1188000,824402.9,363597.125
252000,188343.45,63656.546875
352000,160190.23,191809.765625
544000,599823.4,55823.375
378000,252811.28,125188.71875
181000,168266.53,12733.46875
673000,406473.38,266526.625
77000,143169.31,66169.3125
411000,238533.77,172466.234375
